File,Location,Import_Pattern,Count,Type,Priority
"apps/vscode/test/unit/performance/timingDecorators.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/policy/PolicyPrecedence.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/protection/configFileManager.unit.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/protection/protectionConfigManager.unit.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/protection/SnapBackRCLoader.split.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/providers/SnapshotContentProvider.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/providers/snapshotDocumentProvider.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/providers/SnapshotQuickDiffProvider.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/rules/RulesManager.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/rules/RulesManagerPrecedence.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/save/onWillSave.block.spec.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/schema/PolicyPrecedenceSchema.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/security/comprehensive-security.test.ts","apps/vscode","","       5","VSCode Test","Medium"
"apps/vscode/test/unit/security/file-validation.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/security/globValidator.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/security/pathValidator.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/services/aiRiskService.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/services/configFileScanner.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/services/MCPLifecycleManager.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/services/MilestoneService.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/services/PreSnapshotService.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/services/protectedFileRegistry.getProtectionCounts.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/services/protectionDecorator.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/services/protectionPolicy.test.ts","apps/vscode","","       3","VSCode Test","Medium"
"apps/vscode/test/unit/services/protectionService.audit.test.ts","apps/vscode","","       4","VSCode Test","Medium"
"apps/vscode/test/unit/services/protectionService.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/services/snapshotSummaryProvider.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/services/UserIdentityService.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/services/WorkspaceManager.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/services/WorkspaceMemoryManager.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/signage/signage.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/snapshot/checkpoint/CheckpointStorageAdapter.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/snapshot/checkpoint/storageEfficiency.test.ts","apps/vscode","","       4","VSCode Test","Medium"
"apps/vscode/test/unit/snapshot/EncryptionIntegration.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/snapshot/EncryptionService.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/snapshot/sessionCoordinator.perf.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/snapshot/sessionCoordinator.test.ts","apps/vscode","","       3","VSCode Test","Medium"
"apps/vscode/test/unit/storage/AuditLog.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/storage/BlobStore.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/storage/CooldownCache.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/storage/SessionStore.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/storage/SnapshotStore.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/storage/utils.test.ts","apps/vscode","","       3","VSCode Test","Medium"
"apps/vscode/test/unit/stress/high-file-count.test.ts","apps/vscode","","      10","VSCode Test","Medium"
"apps/vscode/test/unit/suppressions/suppressions.spec.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/ui/dialogs.a11y.spec.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/ui/protectionDecorationProvider.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/ui/ProtectionLevelSelector.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/ui/snapshotRecovery.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/ui/snapshotRestoreUI.test.ts","apps/vscode","","       3","VSCode Test","Medium"
"apps/vscode/test/unit/ui/status-bar.spec.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/AdaptiveHintManager.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/AIOptInManager.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/AIPresenceDetector.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/ContextKeyManager.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/ExperienceClassifier.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/fileChangeAnalyzer.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/PathNormalizer.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/protectedSnapshot.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/sessionSummaryGenerator.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/SessionTagger.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/utils/snapshotLabeling.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/TipBudgetManager.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/UserBehaviorTracker.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/utils/WorkspaceFolderResolver.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/views/grouping/TimeGroupingStrategy.spec.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/views/protectedFilesTreeProvider.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/views/SafetyDashboardTreeProvider.test.ts","apps/vscode","","       4","VSCode Test","Medium"
"apps/vscode/test/unit/views/SessionsTreeProvider.test.ts","apps/vscode","","       5","VSCode Test","Medium"
"apps/vscode/test/unit/views/SnapBackExplorerTreeProvider.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/views/SnapBackTreeProvider.test.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/vscode/test/unit/views/snapshotNavigatorProvider.test.ts","apps/vscode","","       1","VSCode Test","Medium"
"apps/vscode/test/unit/views/types.spec.ts","apps/vscode","","       2","VSCode Test","Medium"
"apps/web/__tests__/modules/analytics/hooks/use-session-recording.test.ts","apps/web","","       1","Web Component","Low"
"apps/web/modules/marketing/shared/components/Footer.tsx","apps/web","","       1","Web Component","Low"
